date,new_cases
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,98.0
2020-01-24,286.0
2020-01-25,492.0
2020-01-26,685.0
2020-01-27,809.0
2020-01-28,2651.0
2020-01-29,589.0
2020-01-30,2068.0
2020-01-31,1692.0
2020-02-01,2111.0
2020-02-02,4749.0
2020-02-03,3100.0
2020-02-04,4011.0
2020-02-05,3745.0
2020-02-06,3160.0
2020-02-07,3593.0
2020-02-08,2734.0
2020-02-09,3030.0
2020-02-10,2609.0
2020-02-11,2042.0
2020-02-12,418.0
2020-02-13,15153.0
2020-02-14,6527.0
2020-02-15,2143.0
2020-02-16,2183.0
2020-02-17,2035.0
2020-02-18,1882.0
2020-02-19,500.0
2020-02-20,560.0
2020-02-21,629.0
2020-02-22,1761.0
2020-02-23,380.0
2020-02-24,564.0
2020-02-25,853.0
2020-02-26,977.0
2020-02-27,1360.0
2020-02-28,1386.0
2020-02-29,1891.0
2020-03-01,2381.0
2020-03-02,1983.0
2020-03-03,2594.0
2020-03-04,2308.0
2020-03-05,2811.0
2020-03-06,3913.0
2020-03-07,4095.0
2020-03-08,3949.0
2020-03-09,4172.0
2020-03-10,4822.0
2020-03-11,7661.0
2020-03-12,5790.0
2020-03-13,14384.0
2020-03-14,11074.0
2020-03-15,11269.0
2020-03-16,14808.0
2020-03-17,15943.0
2020-03-18,19565.0
2020-03-19,27049.0
2020-03-20,30775.0
2020-03-21,31991.0
2020-03-22,34855.0
2020-03-23,42835.0
2020-03-24,41179.0
2020-03-25,51001.0
2020-03-26,62877.0
2020-03-27,65041.0
2020-03-28,67280.0
2020-03-29,59237.0
2020-03-30,65294.0
2020-03-31,76845.0
2020-04-01,82835.0
2020-04-02,83050.0
2020-04-03,83571.0
2020-04-04,58359.0
2020-04-05,72610.0
2020-04-06,73152.0
2020-04-07,69841.0
2020-04-08,83398.0
2020-04-09,87020.0
2020-04-10,85523.0
2020-04-11,74264.0
2020-04-12,119695.0
2020-04-13,70741.0
2020-04-14,84004.0
2020-04-15,77116.0
2020-04-16,95518.0
2020-04-17,88033.0
2020-04-18,77215.0
2020-04-19,76571.0
2020-04-20,76010.0
2020-04-21,75758.0
2020-04-22,81299.0
2020-04-23,84291.0
2020-04-24,84096.0
2020-04-25,82243.0
2020-04-26,71575.0
2020-04-27,70204.0
2020-04-28,75538.0
2020-04-29,77131.0
2020-04-30,83480.0
2020-05-01,88357.0
2020-05-02,79198.0
2020-05-03,76397.0
2020-05-04,77672.0
2020-05-05,80499.0
2020-05-06,90037.0
2020-05-07,88724.0
2020-05-08,90270.0
2020-05-09,85263.0
2020-05-10,74914.0
2020-05-11,76658.0
2020-05-12,84470.0
2020-05-13,85005.0
2020-05-14,96230.0
2020-05-15,95718.0
2020-05-16,94415.0
2020-05-17,78047.0
2020-05-18,89166.0
2020-05-19,96747.0
2020-05-20,101906.0
2020-05-21,106647.0
2020-05-22,106414.0
2020-05-23,104792.0
2020-05-24,94221.0
2020-05-25,86706.0
2020-05-26,93980.0
2020-05-27,102764.0
